appid,name,required age,publisher,genre,price,release date,system
2901610,Trainz Plus DLC - Est/SNCF 241A Mountain Locomotives (rebuilt),l,N3V Games,Simulation,1319,"2 Apr, 2024",playstation
2901620,Finding Sparky,10,Sparky Studios,Action,2999,"22 May, 2024",nintendo
2900730,Gold Mining Simulator - Mini Mining Machines,l,Code Horizon ,Indie,1799,"11 Apr, 2024",nintendo
2900760,SokoPenguin,l,Vergiu,Adventure,499,"12 Apr, 2024",pc
2900800,Physical Spheres,l,ArcadeEcho Studios,Casual,349,"18 Jun, 2024",nintendo
2900830,Fionas Dream of Atlantis,l,magnussoft,Casual,3299,"11 Apr, 2024",pc
2900890,Wizards Vs Soldiers And Robots,l,Astra,Action,1049,"9 Apr, 2024",playstation
2901010,Frood Robotics,l,Frood Designs,Indie,1699,"31 Jul, 2024",playstation
2901080,Super Pixel Merge Balls,l,Igor Silva,Casual,349,"5 Apr, 2024",nintendo
2901170,Dreamland - Chapter 2,18,Dokiden,Adventure,1699,"5 Apr, 2024",nintendo
2900220,SpellRogue - Supporter Pack,14,Ghost Ship Publishing,Indie,2649,"9 May, 2024",pc
2900290,热血→魔幻 - 拓展包,14,光辉罗马结社,Indie,349,"25 Apr, 2024",playstation
2900390,Sex and the Furry Titty 3 - 4K Animations Pack,18,Furlough Games,Adventure,2049,"16 May, 2024",playstation
2900450,Hentai Elf,18,htaidisgust,Casual,99,"Apr 24, 2024",pc
2900440,MrHuh,10,LN,Action,349,"4 Apr, 2024",playstation
2900490,overflower,l,lemur_on_mars,Casual,1049,"30 Aug, 2024",playstation
2900520,Legend of Rome 2 - The Magic Hourglass,l,magnussoft,Casual,3299,"9 Apr, 2024",pc
2900600,Anomaly Escape,14,Z-Tech Studio,Casual,1699,"8 Jun, 2024",pc
2900670,Cricket Captain 2024,l,Childish Things Ltd,Sports,2999,"Jun 6, 2024",playstation
2900700,Sophias Pizza Restaurant,l,magnussoft,Casual,3299,"9 Apr, 2024",nintendo
2899750,My Boyfriend is a Martian👰❤️👽,18,火星愤怒,Adventure,2350,"26 Apr, 2024",playstation
2900150,Mizi NO! - Everyday Objects,l,DU&I,Casual,699,"22 Aug, 2024",nintendo
2900170,Mizi NO! - Blank Slate,l,DU&I,Casual,699,"22 Aug, 2024",nintendo
2899230,Manaulyn,10,Apokalypsis Studios,Action,699,"6 May, 2024",pc
2899250,Nolgorb's Ordeal,l,Hard Meat,Adventure,2350,"30 Aug, 2024",pc
2899290,Bronzebeard's Tavern - Supporter Pack,l,The Mermaid MenZ,Casual,1440,"25 Mar, 2024",pc
2899310,Card Engine,l,Frostzone Entertainment,Indie,4699,"3 May, 2024",pc
2899540,摸鱼拼图/Easy Jigsaw Puzzle,10,chengguogamelimitedcompany,Casual,349,"11 Apr, 2024",playstation
2899560,Ballbastic! Starter Pack,l,Phunen Games,Casual,299,"Apr 22, 2024",nintendo
